date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:34	215977/215977	---M-Z	200	added ('OK')	text/html	etag:%22f7e213c0654f6079208d4dd3722829e9%22	https://fizzsocial.app/	C:/My%20Web%20Sites/landing/fizzsocial.app/index.html	(from )
16:59:34	87/87	---M-Z	200	added ('OK')	text/plain	etag:%22bb52bf79c29f925487bc6f0dc7fc59aa%22	https://fizzsocial.app/robots.txt		(from )
16:59:34	35363/35363	---MC-	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:59:32%20GMT	https://framerusercontent.com/images/RMeyFmOEXnTsPM1I5L4AT3qVQw.png	C:/My%20Web%20Sites/landing/framerusercontent.com/images/RMeyFmOEXnTsPM1I5L4AT3qVQw.png	(from https://fizzsocial.app/)
16:59:35	11528/11528	---MC-	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:59:33%20GMT	https://framerusercontent.com/images/xeqG4i3hB4iX9oU6RCgXNtf9VSQ.png	C:/My%20Web%20Sites/landing/framerusercontent.com/images/xeqG4i3hB4iX9oU6RCgXNtf9VSQ.png	(from https://fizzsocial.app/)
16:59:35	137213/137213	---M-Z	200	added ('OK')	text/html	etag:%22dbe3f003c44514a6b27f4207c5d3a984%22	https://fizzsocial.app/FAQ	C:/My%20Web%20Sites/landing/fizzsocial.app/FAQ.html	(from https://fizzsocial.app/)
16:59:36	96575/96575	---M-Z	200	added ('OK')	text/html	etag:%229818c4eddf9d9fec2bb9a9e9190934ef%22	https://fizzsocial.app/Safety	C:/My%20Web%20Sites/landing/fizzsocial.app/Safety.html	(from https://fizzsocial.app/)
16:59:37	123798/123798	---M-Z	200	added ('OK')	text/html	etag:%222df7756f36fa30ccc245c9a877f7f7c7%22	https://fizzsocial.app/Press	C:/My%20Web%20Sites/landing/fizzsocial.app/Press.html	(from https://fizzsocial.app/)
16:59:37	3076/3076	---MC-	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:59:35%20GMT	https://framerusercontent.com/images/ExbLojzTzGhUtAXwBgJFHuTMvkc.png	C:/My%20Web%20Sites/landing/framerusercontent.com/images/ExbLojzTzGhUtAXwBgJFHuTMvkc.png	(from https://fizzsocial.app/)
16:59:37	8753/8753	---MC-	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:59:35%20GMT	https://framerusercontent.com/images/RrQz0pSmLzIxd3jN4BOLvl2qf4.png	C:/My%20Web%20Sites/landing/framerusercontent.com/images/RrQz0pSmLzIxd3jN4BOLvl2qf4.png	(from https://fizzsocial.app/)
16:59:38	7446/7446	---MC-	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:59:36%20GMT	https://framerusercontent.com/images/UCQBDbbN0o4wBNf1OcCkcuOEFs.png	C:/My%20Web%20Sites/landing/framerusercontent.com/images/UCQBDbbN0o4wBNf1OcCkcuOEFs.png	(from https://fizzsocial.app/)
